584.00,1564700,580.00,"571.19 - 577.83",N/A,19.30,390.5B,N/A,571.19,29.62,571.60,"Google Inc.",1576940,"502.80 - 604.83"
103.81,49069700,103.70,"102.72 - 103.74",1.77,6.20,618.5B,106.29,103.04,16.53,102.50,"Apple Inc.",53599992,"63.8886 - 103.74"
344.19,3721260,342.41,"337.1587 - 342.50",N/A,0.392,158.2B,389.42,338.94,864.90,339.04,"Amazon.com, Inc.",2328881,"284.38 - 408.06"
229.80,3029640,226.00,"215.00 - 225.00",N/A,5.522,78.817B,1548.72,215.27,38.85,214.52,"Baidu, Inc.",5168862,"132.31 - 229.60"
N/A,4186480,N/A,"75.44 - 76.01",0.51,2.766,87.519B,88.90,75.93,27.41,75.81,"Mastercard Incorp",3617965,"61.75 - 84.748"
483.87,2332810,477.40,"474.59 - 478.79",N/A,3.335,28.639B,460.68,478.19,143.22,477.64,"Netflix, Inc.",1262186,"282.80 - 485.30"
584.00,1564700,580.00,"571.19 - 577.83",N/A,19.30,390.5B,N/A,571.19,29.62,571.60,"Google Inc.",1576940,"502.80 - 604.83"
103.81,49069700,103.71,"102.72 - 103.74",1.77,6.20,618.5B,106.29,103.04,16.53,102.50,"Apple Inc.",53601192,"63.8886 - 103.74"
344.19,3721260,342.41,"337.1587 - 342.50",N/A,0.392,158.2B,389.42,338.94,864.90,339.04,"Amazon.com, Inc.",2328881,"284.38 - 408.06"
229.80,3029640,226.00,"215.00 - 225.00",N/A,5.522,78.817B,1548.72,215.27,38.85,214.52,"Baidu, Inc.",5168876,"132.31 - 229.60"
N/A,4186480,N/A,"75.44 - 76.01",0.51,2.766,87.519B,88.90,75.93,27.41,75.81,"Mastercard Incorp",3617965,"61.75 - 84.748"
483.87,2332810,477.60,"474.59 - 478.79",N/A,3.335,28.639B,460.68,478.19,143.22,477.64,"Netflix, Inc.",1262186,"282.80 - 485.30"
